EmpID,First,Last,Gender,Job,Country,NumCalls,Sales,Date
120144,Viney,Barbis,M,Sales Rep. III,AU,82,30265,5/26/14
121038,David,Anstey,M,Sales Rep. I,US,25,25285,5/27/14
121029,Kuo-Chung,Mcelwee,M,Sales Rep. I,US,39,27225,5/28/14
121031,Scott,Filan,M,Sales Rep. III,US,28,28060,6/7/14
120126,Satyakam,Denny,M,Sales Rep. II,AU,2,26780,6/15/14
121035,James,Blackley,M,Sales Rep. II,US,6,26460,6/16/14
120141,Amanda,Liebman,F,Sales Rep. II,AU,10,27465,6/17/14
121060,Elizabeth,Spofford,F,Sales Rep. III,US,62,28800,6/18/14
120142,Vincent,Eastley,M,Sales Rep. III,AU,38,29695,6/20/14
120172,Edwin,Comber,M,Sales Rep. III,AU,26,28345,6/21/14
120198,Meera,Body,F,Sales Rep. III,AU,6,28025,6/23/14
121047,Karen,Grzebien,F,Sales Rep. I,US,37,25820,6/24/14
120173,Hernani,Osborn,M,Sales Rep. I,AU,31,26715,6/25/14
120159,Lynelle,Phoumirath,F,Sales Rep. IV,AU,84,61530,6/26/14
120103,Wilson,Dawes,M,Sales Manager,AU,107,175950,7/2/14
120155,Narelle,James,F,Sales Rep. III,AU,82,29990,7/4/14
121098,Hal,Heatwole,M,Sales Rep. I,US,35,27475,7/13/14
121070,Agnieszka,Holthouse,F,Sales Rep. III,US,26,29385,7/15/14
120161,Rosette,Martines,F,Sales Rep. III,AU,40,61570,7/16/14
121020,Cherda,Ridley,F,Sales Rep. IV,US,32,63500,7/20/14
120179,Matsuoka,Wills,M,Sales Rep. III,AU,52,28510,7/23/14
121090,Betty,Klibbe,F,Sales Rep. I,US,23,26600,7/28/14
121094,Larry,Tate,M,Sales Rep. I,US,19,26555,7/29/14
121056,Stacey,Lyszyk,F,Sales Rep. II,US,38,28325,7/30/14
120136,Atul,Leyden,M,Sales Rep. I,AU,13,26605,8/1/14
121139,Diosdado,Mckee,F,Sales Rep. II,US,110,75400,8/10/14
120156,Gerry,Snellings,F,Sales Rep. I,AU,32,26445,8/11/14
121135,Tammy,Ruta,F,Sales Rep. I,US,39,27010,8/12/14
121108,Libby,Levi,F,Sales Rep. I,US,15,25930,8/13/14
120128,Monica,Kletschkus,F,Sales Rep. IV,AU,88,61780,8/18/14
121065,Corneille,Malta,F,Sales Rep. III,US,22,28040,8/31/14
120174,Doungkamol,Simms,F,Sales Rep. I,AU,4,26850,9/3/14
120130,Kevin,Lyon,M,Sales Rep. I,AU,10,26955,9/5/14
121099,Royall,Mrvichin,M,Sales Rep. IV,US,60,65450,9/6/14
120175,Andrew,Conolly,M,Sales Rep. I,AU,4,25745,9/12/14
120167,Kimiko,Tilley,F,Sales Rep. I,AU,14,25185,9/16/14
121093,Carl,Vasconcellos,M,Sales Rep. I,US,8,27410,9/19/14
121040,Brienne,Darrohn,F,Sales Rep. III,US,34,29525,10/2/14
121103,Brian,Farnsworth,M,Sales Rep. I,US,19,27260,10/6/14
120157,Leonid,Karavdic,M,Sales Rep. II,AU,6,27860,10/7/14
120129,Alvin,Roebuck,M,Sales Rep. III,AU,74,30070,10/10/14
121034,John,Kirkman,M,Sales Rep. II,US,15,27110,10/12/14
121079,Azmi,Mees,M,Sales Rep. I,US,20,25770,10/20/14
121018,Julienne,Magolan,F,Sales Rep. II,US,31,27560,10/21/14
121073,Donald,Court,M,Sales Rep. I,US,31,27100,10/25/14
120134,Sian,Shannan,M,Sales Rep. II,AU,30,28015,10/27/14
121039,Donald,Washington,M,Sales Rep. II,US,39,27460,11/14/14
121064,Asishana,Polky,M,Sales Rep. I,US,4,25110,11/15/14
120125,Fong,Hofmeister,M,Sales Rep. IV,AU,42,64080,11/17/14
120139,Fang,Wilson,F,Sales Rep. II,AU,33,26810,11/18/14
120135,Alexei,Platts,M,Sales Rep. IV,AU,74,64980,11/19/14
121091,Ernest,Kadiri,M,Sales Rep. II,US,6,27325,12/3/14
121037,Muthukumar,Miketa,M,Sales Rep. III,US,16,28310,12/6/14
121063,Regi,Kinol,M,Sales Rep. II,US,70,71980,12/7/14
121069,Jason,Lapsley,M,Sales Rep. II,US,21,26195,12/8/14
121053,Tywanna,Mcdade,F,Sales Rep. III,US,48,29955,12/9/14
120178,Billy,Plested,M,Sales Rep. II,AU,19,26165,12/12/14
120133,Petrea,Soltau,F,Sales Rep. II,AU,25,27440,12/13/14
121058,Del,Kohake,M,Sales Rep. I,US,32,26270,12/14/14
121062,Debra,Armant,F,Sales Rep. IV,US,78,30305,12/26/14
120177,Franca,Kierce,F,Sales Rep. III,AU,32,28745,12/27/14
120166,Fadi,Nowd,M,Sales Rep. IV,AU,8,30660,12/30/14
120180,Vino,George,M,Sales Rep. II,AU,17,26970,1/11/15
121068,Salaheloin,Osuba,M,Sales Rep. II,US,33,27550,1/17/15
121101,Burnetta,Buckner,F,Sales Rep. I,US,60,70780,1/18/15
121046,Roger,Mandzak,M,Sales Rep. I,US,26,25845,1/20/15
121067,Jeanilla,Macnair,F,Sales Rep. IV,US,64,63730,1/29/15
121105,Jessica,Savacool,F,Sales Rep. III,US,8,29545,1/30/15
121059,Jacqulin,Carhide,F,Sales Rep. II,US,22,27425,2/3/15
120124,Lucian,Daymond,M,Sales Rep. I,AU,4,26480,2/9/15
120164,Ranj,Stamalis,F,Sales Rep. II,AU,37,27450,2/12/15
121041,Jaime,Wetherington,F,Sales Rep. II,US,35,26120,2/15/15
120176,Koavea,Pa,M,Sales Rep. I,AU,15,26095,2/16/15
120152,Sean,Dives,M,Sales Rep. I,AU,28,26515,2/18/15
121145,Dennis,Lansberry,M,Sales Manager,US,114,168520,2/19/15
121036,Teresa,Mesley,F,Sales Rep. I,US,15,25965,3/8/15
121106,James,Hilburger,M,Sales Rep. I,US,20,25880,3/9/15
121076,Micah,Cobb,M,Sales Rep. II,US,10,26685,3/15/15
121025,Barnaby,Cassey,M,Sales Rep. II,US,12,28295,3/17/15
120122,Christina,Ngan,F,Sales Rep. II,AU,37,27475,3/19/15
121051,Glorina,Myers,F,Sales Rep. I,US,7,26025,3/22/15
121043,Sigrid,Kagarise,F,Sales Rep. II,US,4,28225,3/23/15
121140,Saunders,Briggi,M,Sales Rep. I,US,38,26335,3/24/15
121104,Leoma,Johnson,F,Sales Rep. II,US,64,76630,3/25/15
120162,Randal,Scordia,M,Sales Rep. I,AU,27,27215,3/26/15
121072,Christer,North,M,Sales Rep. I,US,30,26105,3/28/15
120170,Alban,Kingston,M,Sales Rep. III,AU,58,28830,3/29/15
121026,Terrill,Jaime,M,Sales Rep. IV,US,76,63030,3/30/15
120127,Sharryn,Clarkson,F,Sales Rep. II,AU,18,28100,4/5/15
120131,Marinus,Surawski,M,Sales Rep. I,AU,25,26910,4/6/15
121096,Robert,Newstead,M,Sales Rep. I,US,34,26335,4/7/15
121078,Lionel,Wende,M,Sales Rep. I,US,33,27485,4/8/15
121092,Gynell,Pritt,F,Sales Rep. I,US,31,25680,4/11/15
120150,John,Filo,M,Sales Rep. III,AU,38,29965,4/14/15
121109,Harold,Boulus,M,Sales Rep. I,US,37,26035,4/15/15
121022,Robert,Stevens,M,Sales Rep. IV,US,28,64420,4/16/15
121042,Joseph,Robbin-Coker,M,Sales Rep. III,US,12,28845,4/22/15
121048,Lawrie,Clark,F,Sales Rep. I,US,30,26560,4/23/15
121019,Scott,Desanctis,M,Sales Rep. IV,US,44,62640,4/26/15
121075,Kasha,Sugg,F,Sales Rep. II,US,36,28395,4/27/15
121095,Sara,Kratzke,F,Sales Rep. II,US,4,28010,4/28/15
121107,Rose,Anger,F,Sales Rep. IV,US,40,70760,5/1/15
121136,Lesia,Galarneau,F,Sales Rep. I,US,38,74920,5/10/15
121085,Rebecca,Huslage,M,Sales Rep. IV,US,64,64470,5/11/15
121102,Rocheal,Flammia,F,Sales Rep. I,US,31,27115,5/12/15
120102,Tom,Zhou,M,Sales Manager,AU,147,108255,5/13/15
120121,Irenie,Elvish,F,Sales Rep. II,AU,23,26600,5/15/15
121080,Kumar,Chinnis,M,Sales Rep. I,US,88,64470,5/16/15
120261,Harry,Highpoint,M,Chief Sales Officer,US,134,243190,5/17/15
120151,Julianna,Phaiyakounh,F,Sales Rep. II,AU,11,26520,5/25/15
121045,Cascile,Hampton,F,Sales Rep. II,US,58,28560,6/3/15
121138,Hershell,Tolley,M,Sales Rep. I,US,35,27265,6/4/15
120132,Fancine,Kaiser,F,Sales Rep. III,AU,20,28525,6/6/15
120149,Judy,Chantharasy,F,Sales Rep. I,AU,36,26390,6/7/15
121054,Daniel,Pulliam,M,Sales Rep. III,US,30,29805,6/8/15
121077,Bryce,Smotherly,M,Sales Rep. III,US,82,28585,6/9/15
121057,Tachaun,Voron,M,Sales Rep. I,US,7,25125,6/22/15
121030,Jeryl,Areu,M,Sales Rep. I,US,32,26745,6/24/15
